"name","number_of_stops","number_of_accesible_stops","percent_stops_accesible","accessibility_rating"
"ROXBOROUGH",85,85,100.0,"Good"
"AIRPORT",20,20,100.0,"Good"
"ALLEGHENY_WEST",96,96,100.0,"Good"
"ANDORRA",17,17,100.0,"Good"
"ASTON_WOODBRIDGE",30,30,100.0,"Good"
"PENROSE",16,16,100.0,"Good"
"POINT_BREEZE",83,83,100.0,"Good"
"PORT_RICHMOND",2,2,100.0,"Good"
"QUEEN_VILLAGE",29,29,100.0,"Good"
"RHAWNHURST",127,127,100.0,"Good"
"RICHMOND",116,116,100.0,"Good"
"RIVERFRONT",94,94,100.0,"Good"
"ACADEMY_GARDENS",27,27,100.0,"Good"
"ROXBOROUGH_PARK",14,14,100.0,"Good"
"SHARSWOOD",5,5,100.0,"Good"
"SOCIETY_HILL",34,34,100.0,"Good"
"SOMERTON",151,151,100.0,"Good"
"STADIUM_DISTRICT",50,50,100.0,"Good"
"STRAWBERRY_MANSION",120,120,100.0,"Good"
"SUMMERDALE",25,25,100.0,"Good"
"TACONY",58,58,100.0,"Good"
"TIOGA",102,102,100.0,"Good"
"TORRESDALE",58,58,100.0,"Good"
"UPPER_KENSINGTON",57,57,100.0,"Good"
"UPPER_ROXBOROUGH",37,37,100.0,"Good"
"WALNUT_HILL",43,43,100.0,"Good"
"WEST_KENSINGTON",70,70,100.0,"Good"
"WEST_OAK_LANE",124,124,100.0,"Good"
"WEST_PARK",28,28,100.0,"Good"
"WEST_PASSYUNK",39,39,100.0,"Good"
"WEST_POPLAR",33,33,100.0,"Good"
"WEST_TORRESDALE",1,1,100.0,"Good"
"WHITMAN",24,24,100.0,"Good"
"WINCHESTER_PARK",11,11,100.0,"Good"
"WISSAHICKON",17,17,100.0,"Good"
"WISSAHICKON_HILLS",2,2,100.0,"Good"
"WISSAHICKON_PARK",21,21,100.0,"Good"
"WISSINOMING",70,70,100.0,"Good"
"WISTER",10,10,100.0,"Good"
"WYNNEFIELD",64,64,100.0,"Good"
"WYNNEFIELD_HEIGHTS",44,44,100.0,"Good"
"YORKTOWN",30,30,100.0,"Good"
"BELLA_VISTA",25,25,100.0,"Good"
"BREWERYTOWN",37,37,100.0,"Good"
"BRIDESBURG",32,32,100.0,"Good"
"BURHOLME",22,22,100.0,"Good"
"BUSTLETON",155,155,100.0,"Good"
"BYBERRY",38,38,100.0,"Good"
"CALLOWHILL",28,28,100.0,"Good"
"CEDARBROOK",55,55,100.0,"Good"
"CHESTNUT_HILL",69,69,100.0,"Good"
"CHINATOWN",4,4,100.0,"Good"
"CRESCENTVILLE",19,19,100.0,"Good"
"CRESTMONT_FARMS",1,1,100.0,"Good"
"DEARNLEY_PARK",6,6,100.0,"Good"
"DICKINSON_NARROWS",17,17,100.0,"Good"
"DUNLAP",7,7,100.0,"Good"
"EAST_FALLS",54,54,100.0,"Good"
"EAST_KENSINGTON",46,46,100.0,"Good"
"EAST_OAK_LANE",97,97,100.0,"Good"
"EAST_PARK",17,17,100.0,"Good"
"EAST_PARKSIDE",18,18,100.0,"Good"
"EAST_PASSYUNK",29,29,100.0,"Good"
"EAST_POPLAR",18,18,100.0,"Good"
"FAIRHILL",16,16,100.0,"Good"
"FAIRMOUNT",50,50,100.0,"Good"
"FELTONVILLE",58,58,100.0,"Good"
"FERN_ROCK",37,37,100.0,"Good"
"FISHTOWN",109,109,100.0,"Good"
"FITLER_SQUARE",15,15,100.0,"Good"
"FOX_CHASE",107,107,100.0,"Good"
"FRANCISVILLE",41,41,100.0,"Good"
"FRANKLIN_MILLS",13,13,100.0,"Good"
"GARDEN_COURT",12,12,100.0,"Good"
"GERMANTOWN_EAST",68,68,100.0,"Good"
"GERMANTOWN_MORTON",28,28,100.0,"Good"
"GERMANTOWN_PENN_KNOX",27,27,100.0,"Good"
"GERMANTOWN_SOUTHWEST",42,42,100.0,"Good"
"GERMANTOWN_WEST_CENT",59,59,100.0,"Good"
"GERMANTOWN_WESTSIDE",24,24,100.0,"Good"
"GERMANY_HILL",7,7,100.0,"Good"
"GIRARD_ESTATES",82,82,100.0,"Good"
"GLENWOOD",29,29,100.0,"Good"
"GRADUATE_HOSPITAL",71,71,100.0,"Good"
"GRAYS_FERRY",78,78,100.0,"Good"
"GREENWICH",11,11,100.0,"Good"
"HADDINGTON",89,89,100.0,"Good"
"HARROWGATE",54,54,100.0,"Good"
"HAWTHORNE",30,30,100.0,"Good"
"HOLMESBURG",96,96,100.0,"Good"
"INDUSTRIAL",29,29,100.0,"Good"
"JUNIATA_PARK",71,71,100.0,"Good"
"LAWNDALE",79,79,100.0,"Good"
"LEXINGTON_PARK",23,23,100.0,"Good"
"LOWER_MOYAMENSING",52,52,100.0,"Good"
"LUDLOW",20,20,100.0,"Good"
"MANAYUNK",29,29,100.0,"Good"
"MAYFAIR",138,138,100.0,"Good"
"MCGUIRE",13,13,100.0,"Good"
"MELROSE_PARK_GARDENS",16,16,100.0,"Good"
